PMRP_SUBJECT_ID,EXOME_ID
3657,7399220-1-0238042976
3661,2122027-1-0238042790
3664,MC.AMD108348@0123909094
3672,MC.157781@1075641470
3673,MC.AMD104636@0124011457
3688,MC.AMD109733@0123909093
3693,MC.AMD106952@0123890379
3697,
3712,8319026-1-0238042929
3718,7163288-1-0238042798
3719,MC.158316@0123948121
3720,MC.AMD107662@0124011473
3726,MC.AMD106316@0124011478
3731,MC.157263@1075641507
3736,MC.AMD105432@0124009876
3739,MC.159006@1075641474
3742,MC.AMD102686@0124009913
3757,MC.AMD103916@0124009878
3763,
3778,MC.AMD126678@0123890310
3782,MC.160378@1075641523
3785,MC.AMD100958@0123890338
3786,MC.158578@1075641497
3792,MC.158001@1075641837
3793,3908077-1-0238042961
3794,MC.AMD118924@0124011469
3800,MC.AMD104190@0123890349
3806,
3825,7603846-1-0238042763
3850,MC.AMD112544@0123890348
3866,MC.159906@1075641829
3868,6669638-1-0238042799
3872,3386864-1-0238042744
3880,MC.AMD115315@0123890323
3891,MC.AMD102613@0123909090
3908,MC.AMD115141@0124009907
3918,MC.AMD108952@0123890344
3922,MC.157677@1075641824
3924,
3936,
3937,MC.AMD102484@0124009890
3938,
3942,MC.AMD114411@0123890307
3962,MC.159595@1075641835
3966,1046342-1-0238042817
3972,MC.AMD100593@0123890317
3976,
3977,MC.161158@1075641844
3981,MC.AMD110805@0123890320
3984,MC.AMD100579@0123890311
3992,MC.159273@1075641833
4001,MC.160249@1075638250
4005,
4013,MC.AMD132708@0124009850
4014,
4017,MC.159623@1075641843
4022,MC.161177@1075641865
4030,MC.161070@1075641852
4032,MC.AMD106231@0123889326
4043,1211323-1-0238042555
4047,6635182-1-0238041086
4064,MC.157646@1075641857
4065,
4066,3140274-1-0238042575
4070,MC.AMD103192@0123889435
4074,MC.AMD105784@0124009864
4075,MC.AMD106583@0124009863
4080,MC.AMD101631@0123889322
4087,MC.AMD109192@0123889420
4095,MC.158791@1075641863
4097,MC.AMD100088@0124009853
4110,MC.AMD118096@0123909087
4126,MC.158202@1075641941
4130,MC.AMD101869@0123889434
4140,MC.AMD100460@0124009847
4141,MC.155723@1075641939
4148,8571484-1-0238040890
4149,7249270-1-0238041023
4154,6694424-1-0238040116
4173,MC.AMD102253@0124009859
4180,MC.AMD105343@0123889314
4182,MC.AMD108190@0123909086
4183,MC.157835@1075680502
4189,6622205-1-0238095087
4210,MC.AMD108236@0124009837
4215,MC.161026@1075641951
4216,MC.AMD122799@0123909085
4228,
4250,6333448-1-0238042568
4251,MC.AMD129543@0124009824
4254,MC.AMD107044@0124009836
4255,MC.157485@1075641963
4267,3292616-1-0238042602
4268,MC.159840@1075641973
4274,MC.AMD103201@0124009827
4282,MC.161176@1075641978
4284,MC.161141@1075641979
4289,
4306,6978030-1-0238042609
4324,5990502-1-0238042445
4325,MC.159880@1075641986
4331,3216316-1-0238096265
4334,MC.159817@1075641997
4341,MC.159431@1075641634
4344,MC.161150@1075680507
4346,MC.AMD111874@0123889305
4348,4929671-1-0238042468
4354,MC.160410@1075641996
4357,MC.163141@1082087102
4358,5604567-1-0238042508
4369,MC.AMD122505@0123889466
4381,MC.AMD111803@0123889425
4383,MC.157507@1075641993
4386,9313562-1-0238042516
4389,1505449-1-0238042435
4415,MC.161337@1075642001
4418,3025262-1-0238042465
4441,
4442,MC.AMD111116@0123889426
4454,
4455,MC.AMD105956@0123889427
4491,MC.AMD113458@0123907465
4495,MC.157678@1075638229
4496,3054561-1-0238042446
4498,MC.AMD108450@0123911511
4503,MC.AMD100144@0123911510
4505,MC.AMD105635@0123889462
4521,MC.AMD113095@0123889449
4532,MC.AMD124703@0123911489
4539,MC.159750@1075641668
4548,MC.161083@1075641660
4549,MC.AMD107504@0123911471
4550,8733812-1-0238042447
4551,MC.AMD108431@0123911469
4556,MC.AMD131869@0123911488
4590,8708559-1-0224008212
4592,MC.160186@1075680538
4593,
4594,MC.AMD100914@0123889442
4604,MC.159814@1075641671
4611,MC.AMD131723@0123909081
4614,5198894-1-0238042458
4620,MC.AMD135906@0123889441
4621,MC.AMD108433@0123911476
4632,MC.AMD105052@0123889317
4633,MC.AMD108726@0123909079
4646,MC.157537@1075641674
4651,
